"Buurten";"Gemiddeld persoonlijk inkomen per inkomensontvanger (x1000 euro)|2020"
"Achtse Barrier-Gunterslaer";35,7
"Achtse Barrier-Hoeven";34,4
"Achtse Barrier-Spaaihoef";38,6
"Barrier";31,6
"Bennekel-Oost";27,8
"Bennekel-West, Gagelbosch";27,6
"Bergen";42,0
"Binnenstad";38,5
"Blaarthem";28,8
"Blixembosch-Oost";44,1
"Blixembosch-West";45,4
"Bloemenplein";32,1
"Bosrijk";59,7
"Burghplan";30,0
"Doornakkers-Oost";25,0
"Doornakkers-West";28,5
"Drents Dorp";27,7
"Driehoeksbos";49,8
"Eckart";26,3
"Eikenburg";51,9
"Eliasterrein, Vonderkwartier";40,1
"Elzent-Noord";54,3
"Elzent-Zuid";65,6
"Engelsbergen";42,5
"Fellenoord";33,7
"Genderbeemd";35,7
"Genderdal";26,6
"Generalenbuurt";30,1
"Genneperzijde";43,0
"Gerardusplein";38,2
"Gijzenrooi";47,7
"Gildebuurt";30,3
"Grasrijk";46,6
"Hagenkamp";29,1
"Hanevoet";31,4
"Heesterakker";37,7
"Hemelrijken";25,4
"Het Ven";29,5
"Hondsheuvels";26,7
"Irisbuurt";39,0
"Jagershoef";25,6
"Joriskwartier";35,2
"Karpen";90,7
"Kerkdorp Acht";43,0
"Kerstroosplein";28,4
"Koudenhoven";80,9
"Kronehoef";29,7
"Kruidenbuurt";32,8
"Lakerlopen";30,1
"Lievendaal";30,6
"Limbeek-Noord";27,7
"Limbeek-Zuid";28,6
"Looiakkers";37,1
"Luytelaer";53,4
"Meerrijk";46,5
"Mensfort";28,2
"Muschberg, Geestenberg";28,6
"Nieuwe Erven";27,6
"Ooievaarsnest";49,8
"Oude Gracht-Oost";46,4
"Oude Gracht-West";30,7
"Oude Spoorbaan";35,1
"Oude Toren";28,9
"Philipsdorp";38,0
"Prinsejagt";30,1
"Puttense Dreef";51,0
"Rapelenburg";36,5
"Rapenland";27,7
"Riel";44,6
"Rochusbuurt";34,7
"Roosten";60,4
"Schoot";31,5
"Schouwbroek";32,6
"Schrijversbuurt";41,6
"Schuttersbosch";46,8
"Sintenbuurt";34,6
"Strijp S";39,9
"'t Hofke";29,3
"'t Hool";29,8
"Tempel";29,2
"Tivoli";23,8
"Tongelresche Akkers";44,5
"Tuindorp";40,1
"TU-terrein";21,1
"Urkhoven";24,8
"Vaartbroek";27,9
"Villapark";57,9
"Vlokhoven";26,1
"Vredeoord";11,3
"Waterrijk";53,5
"Winkelcentrum";39,3
"Witte Dame";47,4
"Woenselse Heide";29,1
"Woenselse Watermolen";44,9
"Woensel-West";27,2
"Zandrijk";41,2
"Zwaanstraat";59,1
