"Buurten";"Gemiddeld persoonlijk inkomen per inkomensontvanger (x1000 euro)|2020";"Inwoners|2020";"Voelt zich niet zo gelukkig of ongelukkig %|2020";"Door langdurige ziekte sterk belemmerd thuis %|2020";"Hoog opleidingsniveau %|2020";"Maakt u zich zorgen om geld %|2020";"Heeft schulden %|2020";"65 jaar en ouder %|2020"
"Achtse Barrier-Gunterslaer";35,7;3721;4;6;36,1;9;14;19,4
"Achtse Barrier-Hoeven";34,4;3989;5;5;31,7;10;10;17,6
"Achtse Barrier-Spaaihoef";38,6;4505;3;3;34,7;9;12;16,2
"Barrier";31,6;2130;7;6;40,9;10;25;13,9
"BeA2";".";25;".";".";"-";".";".";16,0
"Beemden";".";"x";".";".";"-";".";".";"-"
"Bennekel-Oost";27,8;3402;7;9;41,4;10;24;13,1
"Bennekel-West, Gagelbosch";27,6;3388;7;9;24,5;10;24;26,5
"Bergen";42,0;2727;6;4;58,7;14;20;9,1
"Binnenstad";38,5;3750;6;4;51,5;16;33;9,0
"Blaarthem";28,8;2448;7;4;28,4;13;19;13,6
"Blixembosch-Oost";44,1;7246;2;2;40,6;6;8;10,0
"Blixembosch-West";45,4;2069;2;2;"-";6;8;17,7
"Bloemenplein";32,1;1206;8;4;30,7;14;21;12,9
"Bokt";".";125;".";".";"-";".";".";16,8
"Bosrijk";59,7;423;2;2;62,5;8;9;6,1
"Burghplan";30,0;3057;8;9;28,0;14;22;12,7
"Castiliëlaan";".";69;2;2;"-";6;8;8,7
"Doornakkers-Oost";25,0;2905;8;7;19,9;15;23;17,5
"Doornakkers-West";28,5;3482;8;7;32,7;15;23;13,8
"Drents Dorp";27,7;2391;3;4;23,9;12;22;12,0
"Driehoeksbos";49,8;968;8;6;43,1;12;16;31,8
"Eckart";26,3;4302;3;7;17,8;10;19;22,8
"Eckartdal";".";296;".";".";"-";".";".";33,4
"Eikenburg";51,9;1520;3;1;49,6;4;11;19,2
"Eindhoven Airport";".";"x";".";".";"-";".";".";"x"
"Eliasterrein, Vonderkwartier";40,1;3166;2;1;46,6;7;18;12,3
"Elzent-Noord";54,3;1074;1;3;42,2;4;10;20,0
"Elzent-Zuid";65,6;301;1;3;50,0;4;10;30,6
"Engelsbergen";42,5;635;2;1;59,6;7;18;22,5
"Esp";".";14;".";".";"-";".";".";42,9
"Fellenoord";33,7;170;".";".";"-";".";".";0,0
"Flight Forum";".";"x";".";".";"-";".";".";"-"
"Genderbeemd";35,7;3628;4;7;41,5;9;16;20,1
"Genderdal";26,6;2957;9;8;34,8;19;27;17,0
"Generalenbuurt";30,1;5437;4;3;30,3;16;17;20,7
"Gennep";".";38;".";".";"-";".";".";13,2
"Genneperzijde";43,0;1361;1;3;53,7;4;10;40,0
"Gerardusplein";38,2;3374;4;4;43,1;12;21;11,6
"Gijzenrooi";47,7;1818;2;2;52,4;6;13;20,6
"Gildebuurt";30,3;1681;9;5;42,0;13;28;20,9
"Grasrijk";46,6;5845;2;2;48,8;8;9;8,3
"Hagenkamp";29,1;1183;3;2;32,9;10;20;35,1
"Hanevoet";31,4;3688;3;4;39,7;11;16;21,1
"Heesterakker";37,7;2678;5;2;50,5;8;12;20,8
"Hemelrijken";25,4;3870;9;5;30,8;13;28;9,4
"Herdgang";".";14;".";".";"-";".";".";14,3
"Het Ven";29,5;3932;6;4;34,0;10;23;16,0
"Hondsheuvels";26,7;267;".";".";"-";".";".";80,1
"Hurk";".";69;".";".";16,7;".";".";11,6
"Irisbuurt";39,0;2345;5;3;60,6;15;27;10,0
"Jagershoef";25,6;3527;8;9;23,5;21;16;22,6
"Joriskwartier";35,2;1298;4;3;43,9;12;29;13,8
"Kapelbeemd";".";113;".";".";25,0;".";".";10,6
"Karpen";90,7;455;2;2;75,0;1;9;36,0
"Kerkdorp Acht";43,0;3547;3;4;38,0;7;4;25,0
"Kerstroosplein";28,4;1829;8;4;34,4;14;21;9,7
"Koudenhoven";80,9;516;2;2;66,7;1;9;32,4
"Kronehoef";29,7;4182;6;4;35,5;13;17;28,7
"Kruidenbuurt";32,8;3067;6;6;41,8;15;29;9,7
"Lakerlopen";30,1;3300;8;7;32,6;18;29;12,4
"Leenderheide";".";"x";".";".";"-";".";".";"-"
"Lievendaal";30,6;3157;6;8;19,4;12;21;14,4
"Limbeek-Noord";27,7;2463;11;7;43,6;23;23;6,9
"Limbeek-Zuid";28,6;1405;11;7;34,2;23;23;12,7
"Looiakkers";37,1;571;4;3;61,0;12;29;7,9
"Luytelaer";53,4;942;3;7;69,8;10;19;39,1
"Meerbos";".";47;".";".";"-";".";".";17,0
"Meerrijk";46,5;670;4;1;56,9;8;16;17,9
"Mensfort";28,2;3096;6;4;25,3;15;23;16,9
"Mispelhoef";".";25;".";".";"-";".";".";32,0
"Muschberg, Geestenberg";28,6;3995;6;6;28,7;14;16;19,1
"Nieuwe Erven";27,6;1099;5;3;30,8;15;27;14,6
"Ooievaarsnest";49,8;893;3;4;64,6;11;16;29,9
"Oude Gracht-Oost";46,4;1336;4;4;60,6;6;14;24,1
"Oude Gracht-West";30,7;2860;4;4;38,0;6;14;21,4
"Oude Spoorbaan";35,1;2088;3;2;49,7;10;20;9,9
"Oude Toren";28,9;1628;7;3;33,6;14;19;35,4
"Park Forum";".";19;".";".";"-";".";".";0,0
"Philipsdorp";38,0;3099;5;1;48,3;12;30;10,7
"Poeijers";".";"x";".";".";"-";".";".";"-"
"Prinsejagt";30,1;4742;8;6;28,6;12;16;23,7
"Puttense Dreef";51,0;1246;2;2;62,2;6;13;15,3
"Rapelenburg";36,5;1133;7;4;56,3;13;19;10,9
"Rapenland";27,7;2371;6;4;31,1;15;23;10,8
"Riel";44,6;137;".";".";40,0;".";".";24,1
"Rochusbuurt";34,7;1778;4;3;59,9;12;29;7,6
"Roosten";60,4;726;3;1;"-";4;11;22,2
"Schoot";31,5;3247;6;4;50,5;10;23;10,5
"Schouwbroek";32,6;1532;5;1;38,7;12;30;13,6
"Schrijversbuurt";41,6;3584;3;2;53,7;10;20;16,5
"Schuttersbosch";46,8;618;2;2;59,5;6;13;34,3
"Sintenbuurt";34,6;1830;8;9;40,9;14;22;14,6
"Sportpark Aalsterweg";".";15;".";".";"-";".";".";40,0
"Strijp S";39,9;1665;5;1;66,1;16;59;2,0
"'t Hofke";29,3;3683;6;6;36,4;14;16;19,7
"'t Hool";29,8;2256;10;3;33,5;20;27;17,2
"Tempel";29,2;5079;4;5;24,0;11;16;25,3
"Tivoli";23,8;1450;8;9;14,8;14;22;15,7
"Tongelresche Akkers";44,5;1453;8;7;50,0;15;23;8,7
"Tuindorp";40,1;2952;5;3;63,4;15;27;23,0
"TU-terrein";21,1;782;".";".";"-";".";".";0,0
"Urkhoven";24,8;163;".";".";16,7;".";".";13,5
"Vaartbroek";27,9;5242;9;8;24,9;15;21;18,5
"Villapark";57,9;2261;2;2;61,2;1;9;16,0
"Vlokhoven";26,1;3538;10;9;27,0;21;27;22,7
"Vredeoord";11,3;503;".";".";2,1;".";".";10,7
"Waterrijk";53,5;2228;4;1;63,1;8;16;2,5
"Wielewaal";".";97;".";".";62,5;".";".";17,5
"Winkelcentrum";39,3;659;10;3;43,9;20;27;21,9
"Witte Dame";47,4;2162;6;4;78,5;14;20;9,4
"Woenselse Heide";29,1;5252;6;9;28,1;12;15;20,4
"Woenselse Watermolen";44,9;1362;7;3;80,8;14;19;13,2
"Woensel-West";27,2;3878;8;3;41,3;19;32;7,6
"Zandrijk";41,2;2940;2;2;42,1;8;9;15,1
"Zwaanstraat";59,1;902;3;4;81,4;12;22;3,7
"Onbekend";"";13;"";"";"";"";"";0,0
