neighbourhood,personal_income,residents,unhappy_percentage,prolonged_illness_percentage,high_level_of_education_percentage,worries_about_money_percentage,has_debts_percentage,65plus_percentage
Achtse Barrier-Gunterslaer,35.7,3721,4.0,6.0,36.1,9.0,14.0,19.4
Achtse Barrier-Hoeven,34.4,3989,5.0,5.0,31.7,10.0,10.0,17.6
Achtse Barrier-Spaaihoef,38.6,4505,3.0,3.0,34.7,9.0,12.0,16.2
Barrier,31.6,2130,7.0,6.0,40.9,10.0,25.0,13.9
BeA2,,25,,,,,,16.0
Beemden,,,,,,,,
Bennekel-Oost,27.8,3402,7.0,9.0,41.4,10.0,24.0,13.1
"Bennekel-West, Gagelbosch",27.6,3388,7.0,9.0,24.5,10.0,24.0,26.5
Bergen,42.0,2727,6.0,4.0,58.7,14.0,20.0,9.1
Binnenstad,38.5,3750,6.0,4.0,51.5,16.0,33.0,9.0
Blaarthem,28.8,2448,7.0,4.0,28.4,13.0,19.0,13.6
Blixembosch-Oost,44.1,7246,2.0,2.0,40.6,6.0,8.0,10.0
Blixembosch-West,45.4,2069,2.0,2.0,,6.0,8.0,17.7
Bloemenplein,32.1,1206,8.0,4.0,30.7,14.0,21.0,12.9
Bokt,,125,,,,,,16.8
Bosrijk,59.7,423,2.0,2.0,62.5,8.0,9.0,6.1
Burghplan,30.0,3057,8.0,9.0,28.0,14.0,22.0,12.7
Castiliëlaan,,69,2.0,2.0,,6.0,8.0,8.7
Doornakkers-Oost,25.0,2905,8.0,7.0,19.9,15.0,23.0,17.5
Doornakkers-West,28.5,3482,8.0,7.0,32.7,15.0,23.0,13.8
Drents Dorp,27.7,2391,3.0,4.0,23.9,12.0,22.0,12.0
Driehoeksbos,49.8,968,8.0,6.0,43.1,12.0,16.0,31.8
Eckart,26.3,4302,3.0,7.0,17.8,10.0,19.0,22.8
Eckartdal,,296,,,,,,33.4
Eikenburg,51.9,1520,3.0,1.0,49.6,4.0,11.0,19.2
Eindhoven Airport,,,,,,,,
"Eliasterrein, Vonderkwartier",40.1,3166,2.0,1.0,46.6,7.0,18.0,12.3
Elzent-Noord,54.3,1074,1.0,3.0,42.2,4.0,10.0,20.0
Elzent-Zuid,65.6,301,1.0,3.0,50.0,4.0,10.0,30.6
Engelsbergen,42.5,635,2.0,1.0,59.6,7.0,18.0,22.5
Esp,,14,,,,,,42.9
Fellenoord,33.7,170,,,,,,0.0
Flight Forum,,,,,,,,
